"#","Page","Page URL","Action","Priority","What changes","Current wording","New wording","Why"
"150","how-a-cracked-tooth-can-lead-to-a-serious-infection page","https://elitedentistryrsm.com/how-a-cracked-tooth-can-lead-to-a-serious-infection/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"151","signs-you-might-have-a-cavity-and-dont-even-know-it page","https://elitedentistryrsm.com/signs-you-might-have-a-cavity-and-dont-even-know-it/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"152","why-your-dental-hygienist-is-important-to-your-oral-health page","https://elitedentistryrsm.com/why-your-dental-hygienist-is-important-to-your-oral-health/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"153","are-dental-implants-painful-or-is-that-fear-bigger-than-the-reality page","https://elitedentistryrsm.com/are-dental-implants-painful-or-is-that-fear-bigger-than-the-reality/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"154","how-to-choose-a-dentist page","https://elitedentistryrsm.com/how-to-choose-a-dentist/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"155","emergency-dental-care-your-quick-fix-for-dental-emergencies page","https://elitedentistryrsm.com/emergency-dental-care-your-quick-fix-for-dental-emergencies/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"156","the-best-implant-dentist-your-guide-to-dental-implants page","https://elitedentistryrsm.com/the-best-implant-dentist-your-guide-to-dental-implants/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"157","is-cosmetic-dentistry-worth-it-after-40-what-adults-should-know page","https://elitedentistryrsm.com/is-cosmetic-dentistry-worth-it-after-40-what-adults-should-know/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"158","5-ways-dental-technology-makes-your-visit-more-comfortable page","https://elitedentistryrsm.com/5-ways-dental-technology-makes-your-visit-more-comfortable/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"159","why-family-dentists-are-ideal-for-childrens-dental-care page","https://elitedentistryrsm.com/why-family-dentists-are-ideal-for-childrens-dental-care/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"160","what-to-do-when-your-child-has-a-dental-emergency-a-parents-guide page","https://elitedentistryrsm.com/what-to-do-when-your-child-has-a-dental-emergency-a-parents-guide/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"161","considering-invisalign-here-is-what-you-should-know page","https://elitedentistryrsm.com/considering-invisalign-here-is-what-you-should-know/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"162","tmj-pain-relief-advanced-treatment-options page","https://elitedentistryrsm.com/tmj-pain-relief-advanced-treatment-options/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"163","dental-implants-cost-guide page","https://elitedentistryrsm.com/dental-implants-cost-guide/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"164","how-long-do-dental-implants-really-last page","https://elitedentistryrsm.com/how-long-do-dental-implants-really-last/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"165","porcelain-veneers-are-they-worth-the-investment page","https://elitedentistryrsm.com/porcelain-veneers-are-they-worth-the-investment/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"166","same-day-cerec-crowns-technology page","https://elitedentistryrsm.com/same-day-cerec-crowns-technology/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"167","childs-first-dental-visit-why-early-dental-visits-matter page","https://elitedentistryrsm.com/childs-first-dental-visit-why-early-dental-visits-matter/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"168","discover-the-potential-of-your-smile page","https://elitedentistryrsm.com/discover-the-potential-of-your-smile/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
"169","finding-good-quality-dentists-trained-for-emergency-dental-care page","https://elitedentistryrsm.com/finding-good-quality-dentists-trained-for-emergency-dental-care/","Keep","-","","","","Blog article - title matches the topic and heading; on-topic. Keep."
